name,url,source,vtubers,release
VIOLET (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/VIOLET%20(Twilight%20ver.)%20Original.MP3,,,
Yumemiru Sora He (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Yumemiru%20Sora%20He%20(Sunshine%20ver.).MP3,,,
Yumemiru Sora e（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Yumemiru%20Sora%20e%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
"adieu, Salauds (Midnight ver.)",https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/adieu%2C%20Salauds%20(Midnight%20ver.).MP3,,,
aqua iro palette (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/aqua%20iro%20palette%20(Midnight%20ver.).MP3,,,
diorama（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/diorama%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
identity voices (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/identity%20voices%20(Midnight%20ver.).MP3,,,
"mayday, mayday (Twilight ver.) Original",https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/mayday%2C%20mayday%20(Twilight%20ver.)%20Original.MP3,,,
ほめのび（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E3%81%BB%E3%82%81%E3%81%AE%E3%81%B3%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
アイリス（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
キミだけのメロディ（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E3%82%AD%E3%83%9F%E3%81%A0%E3%81%91%E3%81%AE%E3%83%A1%E3%83%AD%E3%83%87%E3%82%A3%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
コトノハ（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E3%82%B3%E3%83%88%E3%83%8E%E3%83%8F%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
マドロミ（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E3%83%9E%E3%83%89%E3%83%AD%E3%83%9F%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
海想列車（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E6%B5%B7%E6%83%B3%E5%88%97%E8%BB%8A%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
駆けろ（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/%E9%A7%86%E3%81%91%E3%82%8D%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
